Id;Oznaczenie;Obudowa;Iloœæ;Oznaczenie;Dostawca;Numer artyku³u;PARKING / KOSZYK
1;R6,R7;R_0805_2012Metric;2;18;TME;0805S8J0180T5E;TAK
2;U2;SMDIP-4_W9.53mm;1;LTV-817S-TA1-A;TME; LTV-817S-TA1-B;TAK
3;DB1;Diode_Bridge_19.0x3.5x10.0mm_P5.0mm;1;GBS4A;TME; GBS4K ;TAK
4;T1;EE13_Bobbin;1;EE13_Custom;FERYSTER;TI-EE13-2X5V;-
6;C8;CP_Radial_D10.0mm_P5.00mm;1;1000u/10V;"TME
FARNELL";"ECA-1AHG102
EEUFS1A102";"TAK
TAK"
7;J3,J2,J1;TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal;3;Conn_01x02;-;-;-
8;D3;D_SOD-123;1;5,1V;TME;BZT52C5V1-13-F;TAK
9;D4,D5;D_SMB;1;STPS1H100U;TME;STPS1H100U;TAK
10;D2;D_SMA;1;S1K;TME;S1K;TAK
11;R4,R3;R_1206_3216Metric;2;2M;TME;1206S4J0205T5E;TAK
12;R5;R_0805_2012Metric;1;100;;;w zapasach
13;R2;R_0805_2012Metric;1;4,7K;;;w zapasach
14;L4,L3;L_Radial_D6.0mm_P4.00mm;2;3,3u;TME;COIL0608-0.0033;TAK
15;C4;C_Disc_D5.0mm_W2.5mm_P5.00mm;1;68p/400VAC;TME;CC-68/500;TAK
16;D1;D_SMA;1;P4SMA120A;TME;P4SMA120A;TAK
17;U1;PowerIntegrations_SO-8C;1;TNY285D;FARNELL;TNY285DG-TL;TAK
18;L2,L1;L_Radial_D8.7mm_P5.00mm_Fastron_07HCP;2;1m;TME;RLB0914-102KL;TAK
19;C10,C9;CP_Radial_D5.0mm_P2.00mm;2;100u;;;w zapasach
20;C7;CP_Radial_D6.3mm_P2.50mm;1;220u/10V;TME;EEUFC1A221SH;TAK
21;C6,C5;C_0603_1608Metric;2;560p;TME;0603B561K500CT;TAK
22;C3;C_0805_2012Metric;1;10u;TME;CL21A106KAYNNNG;TAK
23;C2,C1;CP_Radial_D10.0mm_P5.00mm;2;6,8u;TME;KJ2G6R8MNN1016;TAK
